Brand	Model	SystemVersion	RAM	Resolution	CPU	CPU Core Count
vivo	V1936A	10	6	1080x2340	高通 骁龙855 Plus	8
OPPO	PCLM10	11	8	1080x2400	高通 骁龙855 Plus	8
Xiaomi	MI 9	9	8	1080x2340	Qualcomm	8
Xiaomi	Redmi K20 Pro	10	8	1080x2340	Qualcomm	8
小米	MI 6	9	6	1080x1920	Qualcomm	8
Redmi	Redmi Note 8 Pro	9	6	1080x2340	MT6785V/CC	8
荣耀	OXF-AN00	10	6	1080x2400	Hisilicon	8
华为	JEF-AN00	10	8	1080x2400	Hisilicon	8
华为	SEA-AL10	10	8	1080x2340	Hisilicon	8
华为	ANA-AN00	10	8	1080x2340	Hisilicon	8
华为	VOG-AL00	10	8	1080x2340	Hisilicon	8
一加	GM1910	11	6	1440x3120	Qualcomm	8
华为	LYA-AL00	10	6	1440x3120	Hisilicon	8
荣耀	PCT-AL10	10	6	1080x2310	Hisilicon	8
华为	TAS-AN00	10	8	1080x2340	Hisilicon	8
华为	HMA-AL00	10	6	1080x2244	Hisilicon	8
荣耀	YAL-AL00	9	8	1080x2340		8
华为	WLZ-AL10	10	8	1080x2400	Hisilicon	8
小米	M2002J9E	10	6	2400x1080	骁龙765g	8
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
