Brand	Model	SystemVersion	RAM	Resolution	CPU	CPU Core Count
VIVO	V1732A	8.1	3	1520x720	MT6762V/CB	8
OPPO	OPPO A79k	7.1	4	1080x2160	MT6763V/CT	8
中兴	ZTE A2017	6.0	4	1440x2560	Qualcomm Technologies, Inc MSM8996	4
中兴	ZTE A2017	6.0	4	1440x2560	Qualcomm Technologies, Inc MSM8996	4
小米	Redmi Note 4	6.0	3	1080x1920	MT6797M	10
小米	Redmi K30 Pro	11.0	8	1080x2400	Qualcomm Technologies, Inc SM8250	8
华为	JER-AN10	10.0	8	1080x2340	Hisilicon Kirin985	8
小米	Mi 10 Pro	11.0	8	1080x2340	Qualcomm Technologies, Inc SM8250	8
华为	VOG-AL00	10.0	8	1080x2340	Hisilicon Kirin980	8
索尼	XQ-AS72	10.0	8	1080x2520		8
华为	ELE-AL00	10.0	8	1080x2340	麒麟980	8
夏普	FS8018	7.1	4	1080x2040	骁龙630	8
华为	EBG-AN00	10.0	8	1080x2340	Hisilicon Kirin990	8
小米	MI 11	12	12	1400x3200 	高通骁龙888	8
华为	HLK-AL00	10.0	6	1080x2340		8
华为	YAL-AL00	10.0	8	1080x2340	Hisilicon Kirin980	8
华硕	ZenFone 7 Pro	11.0	8	1080x2400	高通 骁龙865 Plus	8
华为	SEA-AL00	10.0	8	1080x2340	Hisilicon Kirin810	8
魅族	16s Pro	9.0	8	1080x2232	Qualcomm Technologies, Inc SDM855Plus	8
华为	BLN-TL10	7.0	3	1080x1920		8
华硕	ASUS_I001DA	9.0	8	1080x2340		8
IQOO	V1936A	9.0	8	1080x2340		8
一加	ONEPLUS A6010	10.0	8	1080x2340	Qualcomm Technologies, Inc SDM845	8
一加	ONEPLUS A5010	10.0	6	1080x2160	Qualcomm Technologies, Inc MSM8998	8
OPPO	CPH1917	9.0	8	1080x2340	高通骁龙865+	8
华为	COR-AL00	9.0	4	1080x2340	kirin970	8
HISENSE	Hisense A2T	7.1	4	1080x1920		8
一加	GM1900	9.0	8	1080x2340	Qualcomm Technologies, Inc SM8150	8
华为	MAR-LX2J	10.0	4	1080x2312		8
华为	HUAWEI NXT-AL10	10.0	3	1080x2340		8
VIVO	V1986A	10.0	6	1080x2408	MT6889Z/CZA	8
小米	Mi Note 2	7.0	6	1080x1920		8
魅族	M5s	6.0	2	1280x720		1
华为	AUM-AL00	8.0	2	1440x720	msm8937	8
小米	Mi A1	9.0	4	1080x1920	Qualcomm Technologies, Inc MSM8953	8
华为	JSN-AL00a	10.0	4	1080x2340	Hisilicon Kirin710	8
VIVO	V1836A	10.0	8	1080x2460	Qualcomm Technologies, Inc SDM710	8
华为	LLD-AL00	8.0	3	1080x2160		8
联想	ZUK Z2131	7.0	3	1080x1920		4
三星	SM-G955F	9.0	4	1440x2960	samsungexynos8895	8
华为	mate8	8.0	3	1080x720	麒麟625	8
魅族	M5 Note	8.0	3	1440x720		8
华为	FRD-DL00	7.0	3	1080x1920		8
小米	M2003J15SC	10.0	4	1080x2340	MT6769Z	8
小米	Redmi Note 7	9.0	3	1080x1920	Qualcomm Technologies, Inc SDM660	8
VIVO	vivo X9	7.1	4	1080x1920	Qualcomm Technologies, Inc MSM8953	8
三星	SM-G955N	9.0	4	1440x2960	samsungexynos8895	8
VIVO	V1824A	10.0	8	1080x2340	Qualcomm Technologies, Inc SM8150	8
华为	HUAWEI CAZ-AL10	9.0	4	 1080x2340 		8
COOLPAD	C106-8	6.0	4	1080x1920	联发科 MT6750	8
