Brand	Model	SystemVersion	Resolution	Screen	CPU	CPU Core Count	CpuMHZ	RAM
酷派	8676-A01	5.1	720×1280	5.5	MT6753	8	1300MHz	2048MB
酷派	8298-A01	5.1	720×1280	5	MT6735	4	1300MHz	2048MB
酷派	8675	4.4.2	720×1280	5.5	MT6592	8	1700MHz	2048MB
酷派	C105	6.0.1	1080×1920	5.5	"Qualcomm Technologies, Inc MSM8996pro"	4	2188MHz	3780MB
酷派	Y70 C	4.4.4	720×1280	5	: ARMv7 Processor rev 0 (v7l)	4	1200MHz	1024MB
谷歌	Nexus 6P	7	1440×2560	5.7	"Qualcomm Technologies, Inc MSM8994"	8	2000MHz	3072MB
谷歌	Nexus 6P	8.0.0	1440×2560	5.7	"Qualcomm Technologies, Inc MSM8994"	8	2000MHz	3072MB
谷歌	Pixel XL	8.0.0	1440×2560	5.5	-	4	2150MHz	4096MB
HTC	D816e	5.0.2	720×1280	5.5	Qualcomm MSM8928	4	1600MHz	1536MB
HTC	M8St	5.0.2	1080×1920	5	Qualcomm MSM8974PRO-AC	4	2500MHz	2048MB
HTC	M10h	7	1440×2560	5.2	"Qualcomm Technologies, Inc MSM8996"	4	3000MHz	4096MB
HTC	X9u	5.0.2	1080×1920	5.5	MT6795T	8	2200MHz	3072MB
HTC	X9u	6	1080×1920	5.5	: AArch64 Processor rev 2 (aarch64)	8	2200MHz	3072MB
HTC	D816w	6	720×1280	5.5	Qualcomm MSM8228	4	1600MHz	1536MB
HTC	D816d	5.0.2	720×1280	5.5	Qualcomm MSM8628	4	1600MHz	1536MB
HTC	M8Sw	5.0.2	1080×1920	5	Qualcomm MSM8974PRO-AC	4	2500MHz	2048MB
HTC	HTC U Ultra	7	1440×2560	5.7	"Qualcomm Technologies, Inc MSM8996pro"	4	2200MHz	4096MB
HTC	D728w	5.1	720×1280	5.5	MT6753	8	1300MHz	2048MB
HTC	D826w	5.0.2	1920×1080	5.5	"Qualcomm Technologies, Inc MSM8939"	8	1700MHz	2048MB
HTC	D826d	5.0.2	1080×1920	5.5	"Qualcomm Technologies, Inc MSM8939"	8	1700MHz	2048MB
HTC	M8Sw	6.0.1	1080×1920	5	Qualcomm MSM8974PRO-AC	4	2500MHz	2048MB
HTC	D830u	5.1	1080×1920	5.5	MT6753	8	1500MHz	3072MB
HTC	M9w	5.0.2	1920×1080	5	"Qualcomm Technologies, Inc MSM8994"	8	2000MHz	3072MB
华为	CRR-CL00	5.1.1	1080×1920	5.5	Hisilicon Kirin 935	8	2200MHz	3072MB
华为	C199s	5.1.1	720×1280	5.5	: ARMv7 Processor rev 1 (v7l)	8	1500MHz	2048MB
华为	NXT-AL10	7	1080×1920	6	-	8	2300MHz	3072MB
华为	NXT-DL00	7	1080×1920	6	-	8	2300MHz	3072MB
华为	EVA-CL00	7	1080×1920	5.2	-	8	2500MHz	3072MB
华为	FRD-AL10	7	1080×1920	5.2	-	8	2300MHz	4096MB
华为	BLN-AL20	7	1080×1920	5.5	-	8	2100MHz	4096MB
华为	EVA-AL10	7	1080×1920	5.2	-	8	2500MHz	4096MB
华为	EVA-AL00	7	1080×1920	5.2	-	8	2500MHz	3072MB
华为	CAZ-AL10	6	1080×1920	5	"Qualcomm Technologies, Inc MSM8953"	8	2000MHz	4096MB
华为	BAC-AL00	7	1080×1920	5.5	-	8	2400MHz	4096MB
华为	PRA-AL00	7	1080×1920	5.2	-	8	2100MHz	3072MB
华为	SC-CL00	4.4.4	720×1280	6	: ARMv7 Processor rev 0 (v7l)	4	1200MHz	1024MB
华为	ATH-UL00	5.1.1	1080×1920	5.2	Qualcomm MSM 8939 HUAWEI ATH-TL00	8	1500MHz	2048MB
华为	GRA-CL00	5.0.1	1080×1920	5.2	Hisilicon Kirin 930	8	2000MHz	3072MB
华为	ATH-TL00H	5.1.1	1080×1920	5.2	Qualcomm MSM 8939 HUAWEI ATH-TL00	8	1500MHz	2048MB
华为	GRA-TL00	5.0.1	1080×1920	5.2	Hisilicon Kirin 930	8	2000MHz	3072MB
华为	STF-AL00	7	1080×1920	5.15	-	8	2400MHz	4096MB
华为	EVA-TL00	7	1080×1920	5.2	-	8	2500MHz	3072MB
华为	BLN-AL10	7	1080×1920	5.5	-	8	2100MHz	4096MB
华为	VTR-AL00	7	1080×1920	5.1	-	8	2400MHz	4096MB
华为	ATH-AL00	6.0.1	1080×1920	5.2	unknownH	8	1500MHz	3072MB
华为	CUN-TL00	5.1	720×1280	5	MT6735	4	1300MHz	2048MB
华为	EDI-AL10	7	1440×2560	6.6	-	8	2500MHz	4096MB
华为	ATH-AL00	5.1.1	1080×1920	5.2	Qualcomm MSM 8939 HUAWEI ATH-AL00	8	1500MHz	3072MB
华为	MLA-AL00	6	1080×1812	5.5	"Qualcomm Technologies, Inc MSM8953"	8	2000MHz	3072MB
华为	PE-TL10	5.1.1	1920×1080	5.5	Hisilicon Kirin 925	8	1800MHz	3072MB
华为	CUN-AL00	5.1	720×1280	5	MT6735	4	1300MHz	2048MB
华为	H60-L12	5.1.1	1080×1920	5	Hisilicon Kirin 920	8	1700MHz	3072MB
华为	NCE-AL00	6	720×1208	5	: AArch64 Processor rev 2 (aarch64)	8	1500MHz	3072MB
华为	DIG-AL00	6	720×1208	5	"Qualcomm Technologies, Inc MSM8940"	8	1400MHz	3072MB
华为	PIC-AL00	7	1080×1920	5	-	8	2400MHz	4096MB
华为	DLI-AL10	7	720×1280	5	: ARMv7 Processor rev 4 (v7l)	8	1400MHz	3072MB
华为	H30-L01	5.1.1	720×1280	5	hi6620oem	4	1600MHz	1024MB
华为	FRD-AL00	7	1080×1920	5.2	-	8	2300MHz	4096MB
华为	BLN-TL10	7	1080×1920	5.5	-	8	2100MHz	4096MB
华为	ATH-CL00	5.1.1	1080×1920	5.2	Qualcomm MSM 8939 HUAWEI Athena CL	8	1500MHz	2048MB
华为	VIE-AL10	7	1080×1920	5.5	-	8	2500MHz	4096MB
华为	FRD-DL00	7	1080×1920	5.2	-	8	2300MHz	3072MB
华为	STF-AL10	7	1080×1920	5.15	-	8	2400MHz	6144MB
华为	MLA-TL00	7	1080×1920	5.5	"Qualcomm Technologies, Inc MSM8953"	8	2000MHz	3072MB
华为	KIW-TL00H	5.1.1	1080×1920	5.5	Qualcomm MSM 8939 HUAWEI KIW-TL00H	8	1500MHz	2048MB
华为	RIO-TL00	5.1	1080×1920	5.5	Qualcomm MSM 8939 HUAWEI RIO-TL00	8	1500MHz	2048MB
华为	TIT-AL00	5.1	720×1280	5	MT6735	4	1300MHz	2048MB
华为	PRA-AL00X	7	1080×1920	5.2	-	8	2100MHz	4096MB
华为	ALP-AL00	8.0.0	1440×2560	5.9	-	8	2360MHz	6144MB
华为	BLN-AL20	6	1080×1920	5.5	hi6250	8	2100MHz	4096MB
华为	TAG-CL00	5.1	720×1280	5	MT6753T	8	1500MHz	2048MB
华为	MLA-UL00	7	1080×1920	5.5	"Qualcomm Technologies, Inc MSM8953"	8	2000MHz	3072MB
华为	TRT-AL00A	7	720×1280	5.5	: ARMv7 Processor rev 4 (v7l)	8	1400MHz	4096MB
华为	SCL-CL00	5.1.1	720×1280	5	: ARMv7 Processor rev 5 (v7l)	4	1100MHz	2048MB
华为	TRT-AL00	7	720×1280	5.5	: ARMv7 Processor rev 4 (v7l)	8	1400MHz	3072MB
华为	WAS-AL00	7	1080×1920	5.2	-	8	2150MHz	4096MB
华为	PLE-703L	5.1.1	1200×1920	7	unknownH	8	1200MHz	3072MB
华为	PLK-TL01H	5.0.2	1080×1920	5.2	Hisilicon Kirin 935	8	2200MHz	3072MB
华为	Y330-C00	4.3	480×800	4	Qualcomm MSM 8x1x (Flattened Device Tree)	2	1200MHz	512MB
华为	NCE-AL10	6	720×1208	5	: AArch64 Processor rev 2 (aarch64)	8	1500MHz	3072MB
华为	DUK-AL20	7	1440×2560	5.7	-	8	1800MHz	6144MB
华为	EVA-DL00	7	1080×1920	5.2	-	8	2500MHz	3072MB
华为	Y523-L076	4.4.2	480×854	4.5	MT6582	4	1300MHz	512MB
华为	PLK-UL00	5.0.2	1080×1920	5.2	Hisilicon Kirin 935	8	2200MHz	3072MB
华为	GRA-CL00	6	1080×1920	5.2	Hisilicon Kirin 930	8	2000MHz	3072MB
华为	NXT-CL00	6	1080×1920	6	Hisilicon Kirin 950	8	2300MHz	3072MB
华为	GRA-CL10	6	1080×1920	5.2	Hisilicon Kirin 935	8	2200MHz	6144MB
华为	NXT-DL00	6	1080×1920	6	Hisilicon Kirin 950	8	2300MHz	3072MB
海信	A1	5.1.1	1080×1920	5.5	"Qualcomm Technologies, Inc MSM8952"	8	1500MHz	3072MB
海信	E70-T	5.1.1	720×1280	5	"Qualcomm Technologies, Inc MSM8929"	8	1300MHz	2048MB
海信	M20-M	4.4.4	480×854	5	: ARMv7 Processor rev 5 (v7l)	4	1300MHz	512MB
海信	A2T	7.1.2	1080×1920	5.5	"Qualcomm Technologies, Inc MSM8953"	8	2100MHz	4096MB
海信	E75T	5.1.1	720×1280	5	"Qualcomm Technologies, Inc MSM8929"	8	1300MHz	2048MB
海信	M20-T	4.4.4	480×854	5	: ARMv7 Processor rev 5 (v7l)	4	1100MHz	512MB
酷比	S7	5.1	720×1280	5.5	MT6735P	4	1000MHz	1536MB
LG	LG-LS993	7	1440×2880	5.7	"Qualcomm Technologies, Inc MSM8996pro"	4	2300MHz	4096MB
LG	LG-H868	6.0.1	1440×2560	5.3	-	4	2100MHz	4096MB
